model_family,type,dimension,n_points,slope_per_log10B,intercept,r,p,direction,significant
Gemma3,Instruct,epistemic_stance,3,-57.804200057358244,94.88423405850979,-0.9776153296276722,0.13495343589549325,down,False
Gemma3,Instruct,evidentiality,3,-46.85626925183934,96.59021982003591,-0.9954098508729827,0.06102036224437002,down,False
Gemma3,Instruct,form,3,-22.194992286238303,96.22660815356207,-0.9228259738635693,0.2517468820725919,down,False
Gemma3,Instruct,tone,3,-38.3528998813705,95.52844406302313,-0.9850727328347473,0.11013541537505786,down,False
LLaMA3,Base,epistemic_stance,3,-12.132276906967869,91.23562749710575,-0.980304145791212,0.12656042832484463,down,False
LLaMA3,Base,evidentiality,3,-10.531385538619075,82.26125043745229,-0.9099837246665303,0.27218775005222945,down,False
LLaMA3,Base,form,3,-16.366047220472506,88.320484966785,-0.9567582709274718,0.18789887219575166,down,False
LLaMA3,Base,tone,3,-39.51133509880773,97.27022401581061,-0.989524175436816,0.09222933816718129,down,False
LLaMA3,Instruct,epistemic_stance,3,-92.07302384995745,82.51855977424509,-0.9495164914053722,0.20314872196839007,down,False
LLaMA3,Instruct,evidentiality,3,-90.10143853572865,91.51256265336019,-0.9700752202558325,0.15613476254329134,down,False
LLaMA3,Instruct,form,3,-53.60571833389897,74.63165953819194,-0.9044101997492393,0.2806226259394046,down,False
LLaMA3,Instruct,tone,3,-93.37303037331128,87.09537743407,-0.9556188515132389,0.19037671453967278,down,False
Qwen3,Base,epistemic_stance,3,5.30088778286523,83.02474596363216,0.7477225621837656,0.4622946395145114,up,False
Qwen3,Base,evidentiality,3,0.03821029282583271,95.0894805934412,0.08030270066505239,0.9488226090491174,up,False
Qwen3,Base,form,3,1.5034665299064367,91.72067016617432,0.8528035589479179,0.34980086684895273,up,False
Qwen3,Base,tone,3,0.7470622292416106,87.37981077479887,0.5818006247965125,0.6046967899492264,up,False
Qwen3,Instruct,epistemic_stance,3,6.148815210258526,82.3741112212058,0.5304396971116951,0.6440536866173141,up,False
Qwen3,Instruct,evidentiality,3,-6.443236341946512,89.11657629965188,-0.40135660902919995,0.7370776212192887,down,False
Qwen3,Instruct,form,3,1.663142387757104,88.70625672139637,0.14808030814811157,0.9053811782409178,up,False
Qwen3,Instruct,tone,3,-3.1989727918545423,83.19619844605444,-0.2856729863138844,0.8155657732876049,down,False
